# ---------------------------------- WARNING ----------------------------------------																																								
# Some of the data that you have obtained from this U.S. Geological Survey database																																								
# may not have received Director's approval. Any such data values are qualified																																								
# as provisional and are subject to revision. Provisional data are released on the																																								
# condition that neither the USGS nor the United States Government may be held liable																																								
# for any damages resulting from its use.																																								
#																																								
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/																																								
#																																								
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output																																								
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals																																								
#																																								
# Contact:   gs-w_waterdata_support@usgs.gov																																								
# retrieved: 2024-03-27 11:08:54 EDT       (sdww01)																																								
#																																								
# Data for the following 1 site(s) are contained in this file																																								
"#        255635       00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean), From multiparameter sonde"																																								
"#        255636       00400     00001     pH, water, unfiltered, field, standard units (Maximum), From multiparameter sonde"																																								
"#        255638       00400     00002     pH, water, unfiltered, field, standard units (Minimum), From multiparameter sonde"																																								
"#        255639       00400     00008     pH, water, unfiltered, field, standard units (Median), From multiparameter sonde"																																								
"#        255640       00300     00001     Dissolved oxygen, water, unfiltered, milligrams per liter (Maximum), From multiparameter sonde"																																								
"#        255641       00300     00002     Dissolved oxygen, water, unfiltered, milligrams per liter (Minimum), From multiparameter sonde"																																								
"#        255644       00300     00003     Dissolved oxygen, water, unfiltered, milligrams per liter (Mean), From multiparameter sonde"																																								
"#        255645       63680     00001     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Maximum), From multiparameter sonde"																																								
"#        255646       63680     00002     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Minimum), From multiparameter sonde"																																								
"#        255647       63680     00003     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Mean), From multiparameter sonde"																																								
"#        262584       99133     00001     Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen (Maximum), SUNA"																																								
"#        262585       99133     00003     Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen (Mean), SUNA"																																								
"#        262586       99133     00002     Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen (Minimum), SUNA"																																								
"#        300173       00010     00003     Temperature, water, degrees Celsius (Mean), From multiparameter sonde"																																								
"#         68478       00060     00003     Discharge, cubic feet per second (Mean)"																																								
"#         68479       00010     00001     Temperature, water, degrees Celsius (Maximum), 4.1 ft from riverbed (middle), [Discontinued]"																																								
"#         68480       00010     00002     Temperature, water, degrees Celsius (Minimum), 4.1 ft from riverbed (middle), [Discontinued]"																																								
"#         68481       00010     00003     Temperature, water, degrees Celsius (Mean), 4.1 ft from riverbed (middle), [Discontinued]"																																								
"#         68482       00010     00001     Temperature, water, degrees Celsius (Maximum), 1.0 ft from riverbed (bottom), [Discontinued]"																																								
"#         68483       00010     00002     Temperature, water, degrees Celsius (Minimum), 1.0 ft from riverbed (bottom), [Discontinued]"																																								
"#         68484       00010     00003     Temperature, water, degrees Celsius (Mean), 1.0 ft from riverbed (bottom), [Discontinued]"																																								
"#         68485       00010     00001     Temperature, water, degrees Celsius (Maximum), 7.1 ft from riverbed (top), [Discontinued]"																																								
"#         68486       00010     00002     Temperature, water, degrees Celsius (Minimum), 7.1 ft from riverbed (top), [Discontinued]"																																								
"#         68487       00010     00003     Temperature, water, degrees Celsius (Mean), 7.1 ft from riverbed (top), [Discontinued]"																																								
"#         68488       00095     00001     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Maximum), [Discontinued]"																																								
"#         68489       00095     00002     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Minimum), [Discontinued]"																																								
"#         68490       00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean), [Discontinued]"																																								
"#         68491       99133     00001     Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen (Maximum), SUNA, [Discontinued]"																																								
"#         68492       99133     00002     Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen (Minimum), SUNA, [Discontinued]"																																								
"#         68493       99133     00003     Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen (Mean), SUNA, [Discontinued]"																																								
"#         68497       00300     00001     Dissolved oxygen, water, unfiltered, milligrams per liter (Maximum), From multiparameter sonde, [Discontinued]"																																								
"#         68498       00300     00002     Dissolved oxygen, water, unfiltered, milligrams per liter (Minimum), From multiparameter sonde, [Discontinued]"																																								
"#         68499       00300     00003     Dissolved oxygen, water, unfiltered, milligrams per liter (Mean), From multiparameter sonde, [Discontinued]"																																								
"#         68509       00400     00001     pH, water, unfiltered, field, standard units (Maximum), From multiparameter sonde, [Discontinued]"																																								
"#         68510       00400     00002     pH, water, unfiltered, field, standard units (Minimum), From multiparameter sonde, [Discontinued]"																																								
"#         68511       00400     00008     pH, water, unfiltered, field, standard units (Median), From multiparameter sonde, [Discontinued]"																																								
"#         68512       00010     00001     Temperature, water, degrees Celsius (Maximum), From multiparameter sonde, [Discontinued]"																																								
"#         68513       00010     00002     Temperature, water, degrees Celsius (Minimum), From multiparameter sonde, [Discontinued]"																																								
"#         68514       00010     00003     Temperature, water, degrees Celsius (Mean), From multiparameter sonde, [Discontinued]"																																								
"#         68515       00095     00001     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Maximum), From multiparameter sonde, [Discontinued]"																																								
"#         68516       00095     00002     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Minimum), From multiparameter sonde, [Discontinued]"																																								
"#         68517       00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean), From multiparameter sonde, [Discontinued]"																																								
#																																								
# Data-value qualification codes included in this output:																																								
#        																																								
#     A  Approved for publication -- Processing and review completed.																																								
#     P  Provisional data subject to revision.																																								
#     e  Value has been estimated.																																								
# 																																								
agency_cd	site_no	datetime	255631_00010_00002	255631_00010_00002_cd	255632_00010_00001	255632_00010_00001_cd	255633_00095_00001	255633_00095_00001_cd	255634_00095_00002	255634_00095_00002_cd	255635_00095_00003	255635_00095_00003_cd	255636_00400_00001	255636_00400_00001_cd	255638_00400_00002	255638_00400_00002_cd	255639_00400_00008	255639_00400_00008_cd	255640_00300_00001	255640_00300_00001_cd	255641_00300_00002	255641_00300_00002_cd	255644_00300_00003	255644_00300_00003_cd	255645_63680_00001	255645_63680_00001_cd	255646_63680_00002	255646_63680_00002_cd	255647_63680_00003	255647_63680_00003_cd	262584_99133_00001	262584_99133_00001_cd	262585_99133_00003	262585_99133_00003_cd	262586_99133_00002	262586_99133_00002_cd	300173_00010_00003	300173_00010_00003_cd	68478_00060_00003	68478_00060_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	1646500	1/1/23	3.1	A	4.9	A	328	A	299	A	309	A	8.1	A	8	A	8.1	A	13.9	A	13.6	A	13.7	A	12.1	A	8.8	A	10.1	A	2.02	A	1.99	A	1.96	A	4	A	9710	A
USGS	1646500	1/2/23	4.1	A	5.2	A							8.1	A	8	A	8.1	A	13.6	A	13.4	A	13.5	A	10.5	A	8.7	A	9.6	A	2.03	A	2.01	A	2	A	4.7	A	10000	A
USGS	1646500	1/3/23	5	A	5.8	A							8.1	A	8.1	A	8.1	A	13.4	A	13.1	A	13.3	A	10.9	A	9	A	10	A	2.04	A	2.03	A	2.02	A	5.4	A	11300	A
USGS	1646500	1/4/23	5.8	A	6.3	A	312	A	310	A	311	A	8.1	A	8.1	A	8.1	A	13.2	A	12.9	A	13	A	12	A	9.4	A	10.4	A	2.03	A	1.96	A	1.88	A	6.1	A	11900	A
USGS	1646500	1/5/23	5.8	A	6.5	A	310	A	300	A	304	A	8.1	A	8.1	A	8.1	A	13.3	A	12.8	A	13	A	11.4	A	6.9	A	8.8	A	1.89	A	1.79	A	1.68	A	6.2	A	11600	A
USGS	1646500	1/6/23	5.8	A	6.6	A							8.2	A	8.1	A	8.1	A	13.2	A	12.8	A	12.9	A	23	A	7.6	A	10.7	A	1.69	A	1.67	A	1.65	A	6.2	A	11500	A
USGS	1646500	1/7/23	6.2	A	6.9	A							8.2	A	8.1	A	8.1	A	13.2	A	12.7	A	12.9	A	10.5	A	8	A	9.2	A	1.72	A	1.68	A	1.66	A	6.5	A	10500	A
USGS	1646500	1/8/23	5.7	A	6.3	A	298	A	294	A	296	A	8.2	A	8.1	A	8.2	A	13.5	A	12.7	A	13	A	9.6	A	7	A	8.1	A	1.74	A	1.73	A	1.72	A	6.1	A	9460	A
USGS	1646500	1/9/23	5.6	A	6.7	A	301	A	296	A	298	A	8.3	A	8.2	A	8.2	A	13.4	A	12.7	A	13	A	14.7	A	5.1	A	7.9	A	1.74	A	1.71	A	1.69	A	6	A	8570	A
USGS	1646500	1/10/23	5.2	A	5.8	A	308	A	301	A	306	A	8.4	A	8.2	A	8.2	A	13.7	A	12.8	A	13.2	A	5.6	A	4.3	A	4.8	A	1.7	A	1.69	A	1.68	A	5.5	A	7860	A
USGS	1646500	1/11/23	4.8	A	5.4	A	309	A	307	A	308	A	8.4	A	8.2	A	8.2	A	13.9	A	12.9	A	13.3	A	5.8	A	3.2	A	4.3	A	1.7	A	1.68	A	1.67	A	5.1	A	7300	A
USGS	1646500	1/12/23	4.9	A	5.6	A							8.4	A	8.2	A	8.2	A	13.9	A	13	A	13.4	A	4.1	A	2.8	A	3.2	A	1.68	A	1.68	A	1.67	A	5.2	A	6860	A
USGS	1646500	1/13/23	5.5	A	7	A							8.5	A	8.1	A	8.3	A	13.4	A	12.5	A	12.9	A	33.5	A	2.8	A	9.3	A	1.69	A	1.66	A	1.61	A	6.2	A	7030	A
USGS	1646500	1/14/23	4.7	A	6.4	A	329	A	321	A	322	A	8.4	A	8.3	A	8.4	A	13.5	A	12.3	A	12.7	A	10.6	A	3.2	A	5.5	A	1.65	A	1.64	A	1.63	A	5.7	A	6750	A
USGS	1646500	1/15/23	3.6	A	4.8	A	327	A	324	A	326	A	8.7	A	8.3	A	8.4	A	14.8	A	13.1	A	13.7	A	5.8	A	1.8	A	3.4	A	1.66	A	1.65	A	1.63	A	4.1	A	6460	A
USGS	1646500	1/16/23	2.8	A	4.1	A	332	A	327	A	330	A	8.7	A	8.4	A	8.4	A	15.2	A	13.6	A	14.2	A	2.9	A	1.6	A	2	A	1.65	A	1.64	A	1.63	A	3.4	A	6290	A
USGS	1646500	1/17/23	3	A	3.9	A	336	A	332	A	334	A	8.6	A	8.4	A	8.5	A	14.8	A	13.5	A	14	A	2.1	A	1.3	A	1.7	A	1.64	A	1.63	A	1.61	A	3.5	A	6000	A
USGS	1646500	1/18/23	3.8	A	5.5	A	338	A	336	A	337	A	8.8	A	8.4	A	8.5	A	15	A	13.2	A	14	A	3.2	A	1.3	A	1.9	A	1.62	A	1.6	A	1.58	A	4.4	A	5770	A
USGS	1646500	1/19/23	4.4	A	5.2	A	345	A	337	A	340	A	8.6	A	8.4	A	8.5	A	14.4	A	12.9	A	13.4	A	2.3	A	1.3	A	1.6	A							4.9	A	5630	A
USGS	1646500	1/20/23	5.1	A	6	A	351	A	344	A	346	A	8.8	A	8.3	A	8.4	A	14.5	A	12.6	A	13.3	A	17.1	A	1.5	A	3.9	A	1.6	A	1.58	A	1.56	A	5.4	A	5700	A
USGS	1646500	1/21/23	4.8	A	5.4	A	346	A	343	A	344	A	8.7	A	8.4	A	8.5	A	14.6	A	12.7	A	13.4	A	2.8	A	1.6	A	2.1	A	1.57	A	1.55	A	1.54	A	5.1	A	5870	A
USGS	1646500	1/22/23	4.1	A	5	A	346	A	344	A	345	A	8.6	A	8.4	A	8.4	A	14.4	A	13.1	A	13.7	A	2.6	A	1.2	A	1.8	A	1.61	A	1.59	A	1.56	A	4.3	A	6340	A
USGS	1646500	1/23/23	4.1	A	4.6	A	359	A	345	A	354	A	8.7	A	8.4	A	8.4	A	14.5	A	13.1	A	13.7	A	4.6	A	1.4	A	2.4	A	1.64	A	1.62	A	1.58	A	4.3	A	6920	A
USGS	1646500	1/24/23	3.9	A	5	A	353	A	337	A	344	A	8.7	A	8.4	A	8.5	A	15.4	A	13.2	A	14	A	2.8	A	1.5	A	2	A	1.6	A	1.57	A	1.54	A	4.3	A	7950	A
USGS	1646500	1/25/23	4	A	4.5	A	339	A	330	A	334	A	8.5	A	8.2	A	8.4	A	14	A	13.2	A	13.5	A	12	A	2.1	A	3.4	A	1.65	A	1.57	A	1.47	A	4.3	A	9220	A
USGS	1646500	1/26/23	4.1	A	4.6	A	332	A	309	A	315	A	8.5	A	8.2	A	8.3	A	14.1	A	13	A	13.5	A	12.9	A	4.7	A	7.5	A	1.54	A	1.51	A	1.48	A	4.4	A	9800	A
USGS	1646500	1/27/23	3.6	A	4.5	A	321	A	314	A	317	A	8.6	A	8.2	A	8.3	A	15.1	A	13.3	A	14	A	5.7	A	3.4	A	4.4	A	1.58	A	1.5	A	1.47	A	4	A	10000	A
USGS	1646500	1/28/23	3.7	A	4.7	A	321	A	310	A	316	A	8.6	A	8.3	A	8.4	A	15.2	A	13.5	A	14.2	A	4.6	A	3.2	A	3.9	A	1.73	A	1.69	A	1.57	A	4.1	A	9720	A
USGS	1646500	1/29/23	4	A	4.4	A	312	A	305	A	308	A	8.5	A	8.3	A	8.4	A	14.5	A	13.3	A	13.9	A	5	A	3.1	A	3.9	A	1.71	A	1.65	A	1.63	A	4.2	A	9610	A
USGS	1646500	1/30/23	4	A	5.4	A	313	A	308	A	310	A	8.7	A	8.3	A	8.4	A	15.2	A	13.4	A	14.1	A	3.8	A	2.5	A	3.1	A	1.63	A	1.62	A	1.6	A	4.5	A	9420	A
USGS	1646500	1/31/23	4.6	A	5.1	A	320	A	312	A	314	A	8.4	A	8.2	A	8.4	A	14	A	12.9	A	13.4	A	3.9	A	2.3	A	2.8	A	1.64	A	1.62	A	1.6	A	5	A	9050	A
USGS	1646500	2/1/23	4.6	A	5.8	A	323	A	309	A	315	A	8.8	A	8.2	A	8.3	A	15.2	A	13.1	A	13.8	A	3.9	A	2.3	A	3.1	A	1.64	A	1.6	A	1.58	A	5	A	8790	A
USGS	1646500	2/2/23	4.4	A	5.1	A	314	A	310	A	311	A	8.7	A	8.3	A	8.4	A	15.2	A	13	A	13.9	A	2.9	A	1.8	A	2.3	A	1.59	A	1.57	A	1.55	A	4.8	A	8380	A
USGS	1646500	2/3/23	3.1	A	4.8	A	316	A	312	A	314	A	8.8	A	8.4	A	8.4	A	14.9	A	13	A	13.8	A	28.8	A	1.9	A	9.6	A	1.57	A	1.54	A	1.51	A	4.4	A	8020	A:e
USGS	1646500	2/4/23	1.7	A	3.1	A	318	A	313	A	316	A	8.7	A	8.4	A	8.5	A	16.3	A	13.7	A	14.8	A	4.5	A	2	A	2.7	A	1.53	A	1.52	A	1.51	A	2.4	A	7760	A
USGS	1646500	2/5/23	1.6	A	3.2	A	319	A	315	A	317	A	8.8	A	8.4	A	8.5	A	16.1	A	14.2	A	15	A	2.7	A	1.6	A	2	A	1.52	A	1.51	A	1.49	A	2.4	A	7760	A
USGS	1646500	2/6/23	2.6	A	3.8	A	321	A	318	A	319	A	8.7	A	8.5	A	8.5	A	15.1	A	13.7	A	14.4	A	2.9	A	1.4	A	2	A	1.5	A	1.47	A	1.44	A	3.2	A	7360	A
USGS	1646500	2/7/23	3.2	A	4.3	A	322	A	318	A	320	A	8.8	A	8.4	A	8.5	A	15.8	A	13.5	A	14.4	A	2	A	1.4	A	1.7	A	1.45	A	1.43	A	1.42	A	3.7	A	6670	A
USGS	1646500	2/8/23	3.7	A	5.9	A	324	A	321	A	322	A	8.8	A	8.4	A	8.5	A	15.5	A	13.3	A	14.3	A	3.4	A	1.3	A	1.8	A	1.42	A	1.41	A	1.4	A	4.6	A	6470	A
USGS	1646500	2/9/23	4.8	A	6.6	A	327	A	324	A	326	A	8.8	A	8.4	A	8.6	A	14.7	A	12.8	A	13.8	A	3.7	A	1.3	A	2	A	1.42	A	1.41	A	1.4	A	5.7	A	6180	A
USGS	1646500	2/10/23	6.3	A	8.4	A	332	A	327	A	329	A	8.8	A	8.4	A	8.6	A	14	A	12.2	A	13.1	A	6.3	A	1.8	A	3	A	1.42	A	1.4	A	1.39	A	7.2	A	5970	A
USGS	1646500	2/11/23	7.1	A	8.4	A	337	A	332	A	335	A	8.7	A	8.5	A	8.6	A	13.8	A	11.7	A	12.8	A	5.2	A	1.3	A	2.7	A	1.45	A	1.42	A	1.41	A	7.7	A	5710	A
USGS	1646500	2/12/23	6.6	A	7.7	A	348	A	333	A	338	A	8.6	A	8.3	A	8.5	A	13.4	A	12	A	12.5	A	4.2	A	1.4	A	2.3	A	1.45	A	1.43	A	1.37	A	6.9	A	5700	A
USGS	1646500	2/13/23	5.8	A	6.7	A	355	A	288	A	311	A	8.4	A	8	A	8.2	A	13.2	A	11.9	A	12.5	A	23.1	A	3.8	A	12.4	A	1.38	A	1.23	A	1.06	A	6.2	A	7700	A
USGS	1646500	2/14/23	5.8	A	7.4	A	314	A	309	A	312	A	8.4	A	8.2	A	8.3	A	13.6	A	12.2	A	12.8	A	11.3	A	6	A	7.9	A	1.32	A	1.28	A	1.24	A	6.4	A	6850	A
USGS	1646500	2/15/23	6.3	A	8.7	A	316	A	307	A	310	A	8.4	A	8.2	A	8.3	A	13.1	A	12	A	12.6	A	9.7	A	5.2	A	6.5	A	1.36	A	1.32	A	1.26	A	7.4	A	6480	A
USGS	1646500	2/16/23	7.9	A	9.4	A	345	A	315	A	324	A	8.4	A	8.1	A	8.3	A	12.5	A	11.4	A	11.8	A	12.5	A	3.2	A	5.4	A	1.38	A	1.34	A	1.2	A	8.5	A	8440	A
USGS	1646500	2/17/23	8.8	A	10.7	A	335	A	208	A	290	A	8.2	A	7.8	A	8	A	11.6	A	10.7	A	11.2	A	75.7	A	5.6	A	27.4	A	1.29	A	1.13	A	0.77	A	9.5	A	11600	A
USGS	1646500	2/18/23	7.2	A	8.8	A	294	A	283	A	287	A	8.1	A	8	A	8	A	12.9	A	11.6	A	12.3	A	30	A	16	A	20.4	A	1.3	A	1.19	A	1.14	A	7.8	A	12500	A
USGS	1646500	2/19/23	7	A	7.7	A	310	A	293	A	301	A	8.2	A	8.1	A	8.1	A	13.1	A	12.3	A	12.6	A	20.9	A	10.6	A	14.6	A	1.5	A	1.39	A	1.3	A	7.4	A	13600	A
USGS	1646500	2/20/23	7.6	A	8.3	A	316	A	281	A	302	A	8.2	A	8.1	A	8.1	A	12.7	A	12.2	A	12.4	A	17.2	A	9.2	A	12.4	A	1.52	A	1.45	A	1.36	A	7.9	A	17000	A
USGS	1646500	2/21/23	8.1	A	9.2	A	302	A	280	A	291	A	8.1	A	8	A	8.1	A	12.4	A	11.8	A	12.2	A	16.9	A	9.1	A	12.7	A	1.44	A	1.41	A	1.36	A	8.7	A	16300	A
USGS	1646500	2/22/23	8.3	A	9	A	301	A	284	A	293	A	8.1	A	8	A	8	A	12.5	A	11.8	A	12.1	A	16.8	A	10.9	A	14	A	1.44	A	1.41	A	1.34	A	8.5	A	13500	A
USGS	1646500	2/23/23	8.4	A	9.7	A	284	A	273	A	278	A	8.1	A	8	A	8.1	A	12.5	A	11.9	A	12.1	A	15.5	A	8.9	A	12.2	A	1.34	A	1.27	A	1.22	A	8.9	A	11900	A
USGS	1646500	2/24/23	9	A	10.3	A	274	A	265	A	271	A	8.2	A	8	A	8.1	A	12.3	A	11.5	A	11.9	A	17.5	A	6.5	A	10.2	A	1.25	A	1.23	A	1.21	A	9.6	A	10600	A
USGS	1646500	2/25/23	8	A	9.1	A	267	A	264	A	265	A	8.2	A	8.1	A	8.1	A	12.4	A	11.7	A	12	A	8.2	A	4.6	A	6.2	A	1.31	A	1.27	A	1.25	A	8.6	A	10000	A
USGS	1646500	2/26/23	7.6	A	9	A	274	A	267	A	269	A	8.3	A	8.1	A	8.1	A	12.9	A	12	A	12.4	A	8.2	A	4	A	5.4	A	1.35	A	1.33	A	1.3	A	8.2	A	9660	A
USGS	1646500	2/27/23	7.7	A	8.4	A	281	A	274	A	277	A	8.2	A	8.1	A	8.2	A	12.6	A	11.8	A	12.2	A	6.3	A	3.5	A	4.7	A	1.37	A	1.36	A	1.34	A	8	A	8970	A
USGS	1646500	2/28/23	7.7	A	9.6	A	296	A	280	A	289	A	8.3	A	8.1	A	8.2	A	12.7	A	11.7	A	12.1	A	10.4	A	3.3	A	5.4	A	1.37	A	1.35	A	1.33	A	8.5	A	8760	A
USGS	1646500	3/1/23	8.5	A	10.2	A	289	A	285	A	287	A	8.3	A	8.2	A	8.2	A	12.6	A	11.5	A	12	A	15.1	A	3.4	A	6.9	A	1.34	A	1.31	A	1.29	A	9.2	A	9300	A
USGS	1646500	3/2/23	9.1	A	9.6	A	295	A	286	A	290	A	8.3	A	8.1	A	8.1	A	12.1	A	11.5	A	11.8	A	16.6	A	5.4	A	10.9	A	1.35	A	1.32	A	1.24	A	9.5	A	17800	A
USGS	1646500	3/3/23	8.1	A	9.4	A	290	A	244	A	270	A	8.1	A	7.9	A	8	A	12.4	A	11.9	A	12.2	A	19.1	A	9	A	13.7	A	1.25	A	1.13	A	1.05	A	8.6	A	18700	A
USGS	1646500	3/4/23	7.6	A	8.6	A	264	A	220	A	239	A	8	A	7.9	A	7.9	A	12.5	A	12.1	A	12.3	A	49.7	A	10.3	A	27.1	A	1.14	A	1.1	A	1.05	A	8.2	A	20800	A
USGS	1646500	3/5/23	7.4	A	8.6	A							7.9	A	7.8	A	7.9	A	13	A	12.4	A	12.7	A	123	A	37.4	A	77.9	A	1.38	A	1.27	A	1.11	A	8.1	A	35700	A
USGS	1646500	3/6/23	7.4	A	8.5	A							7.9	A	7.9	A	7.9	A	13.1	A	12.5	A	12.9	A	89.6	A	51.7	A	72.6	A	1.38	A	1.33	A	1.24	A	8	A	32300	A
USGS	1646500	3/7/23	7.6	A	8.8	A	213	A	202	A	207	A	7.9	A	7.8	A	7.9	A	12.7	A	12.3	A	12.6	A	70.4	A	35.3	A	53.1	A	1.39	A	1.37	A	1.35	A	8.2	A	25200	A
USGS	1646500	3/8/23	7.1	A	8.6	A	226	A	213	A	219	A	8	A	7.8	A	7.9	A	12.9	A	12.4	A	12.7	A	46.1	A	18.4	A	30.2	A	1.43	A	1.41	A	1.39	A	8	A	20700	A
USGS	1646500	3/9/23	7.4	A	8.9	A							8	A	7.9	A	7.9	A	12.9	A	12.2	A	12.6	A	27.6	A	13.3	A	17.6	A	1.46	A	1.45	A	1.42	A	8.2	A	17100	A
USGS	1646500	3/10/23	8.1	A	8.9	A							8	A	7.9	A	8	A	12.4	A	12.1	A	12.2	A	14.3	A	9.7	A	12.1	A	1.48	A	1.47	A	1.46	A	8.5	A	14700	A
USGS	1646500	3/11/23	7.5	A	8.2	A	260	A	252	A	257	A	8.1	A	8	A	8	A	12.7	A	12.1	A	12.3	A	42.8	A	8	A	14.9	A	1.48	A	1.48	A	1.46	A	7.8	A	13000	A
USGS	1646500	3/12/23	6.8	A	7.5	A	265	A	260	A	263	A	8.1	A	8	A	8.1	A	13	A	12.3	A	12.7	A	8.9	A	5.7	A	6.8	A	1.5	A	1.49	A	1.47	A	7	A	11500	A
USGS	1646500	3/13/23																																					10900	A
USGS	1646500	3/14/23	5.8	A	7.5	A	280	A	270	A	273	A	8.1	A	8	A	8.1	A	12.6	A	12	A	12.3	A	53.7	A	5	A	15.5	A	1.56	A	1.52	A	1.5	A	6.7	A	10200	A:e
USGS	1646500	3/15/23	5.2	A	6.8	A	279	A	275	A	277	A	8.2	A	8	A	8.1	A	13.2	A	12.2	A	12.7	A	23.2	A	5.9	A	12.8	A	1.56	A	1.53	A	1.49	A	5.9	A	9360	A:e
USGS	1646500	3/16/23	5.4	A	8.2	A	281	A	277	A	279	A	8.2	A	8.1	A	8.2	A	13.1	A	12.4	A	12.8	A	12.5	A	4.4	A	6.6	A	1.5	A	1.48	A	1.46	A	6.7	A	8630	A
USGS	1646500	3/17/23	6.7	A	8.4	A	287	A	280	A	283	A	8.2	A	8.1	A	8.2	A	12.7	A	11.8	A	12.1	A	9.7	A	3.4	A	5.2	A	1.47	A	1.45	A	1.43	A	7.8	A	8130	A
USGS	1646500	3/18/23	7.7	A	9.9	A	294	A	287	A	291	A	8.3	A	8.1	A	8.2	A	12.4	A	11.6	A	11.9	A	13.7	A	3.8	A	6.8	A	1.45	A	1.44	A	1.42	A	8.6	A	7690	A
USGS	1646500	3/19/23	7.5	A	9	A	299	A	294	A	296	A	8.3	A	8.2	A	8.2	A	12.7	A	11.4	A	12	A	13.4	A	3.2	A	6.6	A	1.44	A	1.43	A	1.41	A	8.2	A	7240	A
USGS	1646500	3/20/23	6.7	A	9.2	A	303	A	298	A	301	A	8.4	A	8.2	A	8.2	A	13.2	A	11.9	A	12.5	A	7.7	A	2.4	A	4.3	A	1.43	A	1.42	A	1.4	A	7.8	A	6870	A
USGS	1646500	3/21/23	7.1	A	9.8	A	308	A	303	A	306	A	8.4	A	8.2	A	8.3	A	13	A	11.7	A	12.4	A	9.2	A	1.9	A	4.3	A	1.42	A	1.4	A	1.38	A	8.4	A	6560	A
USGS	1646500	3/22/23	8.3	A	10.8	A	312	A	307	A	310	A	8.4	A	8.2	A	8.3	A	12.8	A	11.4	A	12.2	A	10.1	A	2.6	A	5.1	A	1.39	A	1.38	A	1.36	A	9.5	A	6400	A
